플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
평택기지본부,공통 소화방재설비,000000000022101160,오동작/계기불량/작동불량,설계/설치불량/연약지반 ,직접입력,10430,4794,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,정지(Trip)/기동불량/전원불량,부품/자재 불량,시운전 ,17,1775,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,오동작/계기불량/작동불량,설정값불량/점검불량,부품/자재 교체,3305,591,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,정지(Trip)/기동불량/전원불량,과부하 (Over Load),교정/조정/재설정 작업,3378,256,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,오동작/계기불량/작동불량,H/W 오류,시운전 ,1891,67,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,내부 LEAK,,,20149,*,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,과열/발열/열화/과부하 ,,,2011,*,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101160,,,,38736,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101161,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,1323,*,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101161,결빙(Icing),온도변화/열팽창 ,보강/개조/추가설치,32972,353,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101161,오동작/계기불량/작동불량,장기미사용 ,교정/조정/재설정 작업,19113,47,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101161,,,,36376,*,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101161,,,,7512,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101162,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,22363,206,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101162,균열/파손/소손/절단,부품/자재 불량,부품/자재 교체,4095,217,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101162,전송/통신 불량,설정값불량/점검불량,교정/조정/재설정 작업,15607,369,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101162,전송/통신 불량,직접입력,직접입력,36273,840,F,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101162,,,,12240,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101163,,,,86256,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101164,,,,98721,*,C,,,,,,,,,,,,,,,
평택기지본부,공통 소화방재설비,000000000022101165,,,,84144,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101881,,,,24840,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 기화해수펌프,000000000022101884,,,,34920,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101885,변형/변색/부식 ,노후/장기사용,부품/자재 교체,4573,2691,F,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101885,,,,36696,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101887,내부 LEAK,이완/밀봉/고정 불량,교정/조정/재설정 작업,1508,542,F,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101887,정지(Trip)/기동불량/전원불량,온도변화/열팽창 ,청소/윤활/코팅 작업,25362,327,F,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101887,직접입력,직접입력,청소/윤활/코팅 작업,1256,291,F,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101887,,,,64752,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101890,경보(Alarm)/차압발생,단선/단락/오결선 ,직접입력,17190,504,F,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101890,,,,81576,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101891,,,,14544,*,C,,,,,,,,,,,,,,,
평택기지본부,1공장 소화해수펌프,000000000022101893,,,,92784,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202760,경보(Alarm)/차압발생,장기미사용 ,교정/조정/재설정 작업,25602,135,F,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202760,,,,41794,*,F,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202760,,,,6528,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202763,,,,97717,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202764,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,85510,665,F,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202764,,,,5664,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202766,진동/소음,부품/자재 불량,부품/자재 교체,24857,404,F,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022202766,,,,23496,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 소화해수펌프,000000000022203531,,,,85728,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203532,이물질/오염,이물질 ,청소/윤활/코팅 작업,10045,332,F,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203532,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,9847,483,F,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203532,경보(Alarm)/차압발생,이완/밀봉/고정 불량,밀봉/조임 작업,39038,164,F,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203532,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,20143,208,F,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203532,,,,6840,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203533,오동작/계기불량/작동불량,직접입력,직접입력,36294,174,F,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203533,,,,12840,*,C,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203534,접점불량/스파크발생 ,직접입력,교정/조정/재설정 작업,73988,497,F,,,,,,,,,,,,,,,
인천기지본부,1공장 기화해수펌프,000000000022203534,,,,13584,*,C,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203535,,,,65999,*,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203535,고착 (Stick),직접입력,직접입력,1978,72,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203535,,,,20448,*,C,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203536,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,8219,149,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203536,,,,82368,*,C,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203537,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,10721,258,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203537,정지(Trip)/기동불량/전원불량,단선/단락/오결선 ,직접입력,20656,47,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203537,정지(Trip)/기동불량/전원불량,노후/장기사용,용접작업,5981,1266,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203537,,,,7344,*,C,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203538,내용물 과&부족 ,부품/자재 불량,교정/조정/재설정 작업,9991,26,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203538,오동작/계기불량/작동불량,직접입력,밀봉/조임 작업,15135,144,F,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203538,,,,70416,*,C,,,,,,,,,,,,,,,
인천기지본부,2공장 기화해수펌프,000000000022203540,,,,74880,*,C,,,,,,,,,,,,,,,
